,company,n0_rec,n0_conf,n1_rec,n1_conf,n2_rec,n2_conf,n3_rec,n3_conf,n4_rec,n4_conf,n5_rec,n5_conf,n6_rec,n6_conf,n7_rec,n7_conf,n8_rec,n8_conf,n9_rec,n9_conf,n10_rec,n10_conf,n11_rec,n11_conf,n12_rec,n12_conf,n13_rec,n13_conf,n14_rec,n14_conf,n15_rec,n15_conf,n16_rec,n16_conf,n17_rec,n17_conf,n18_rec,n18_conf,n19_rec,n19_conf,n20_rec,n20_conf,n21_rec,n21_conf,n22_rec,n22_conf
10,tc,cenovus,0.9993424415588379,suncor,0.9991247653961182,enbridge,0.9989964962005615,manulife financial,0.9963775277137756,canadian pacific railway ltd,0.9822491407394409,barrick gold,0.9750967025756836,quebecor,0.9745813012123108,nutrien ltd,0.9711962938308716,imperial oil ltd,0.9701736569404602,kinross gold,0.9691301584243774,canadian natural resources ltd,0.9663856029510498,blackberry ltd,0.9660967588424683,loblaw companies ltd,0.9623153209686279,pembina pipeline,0.9550647735595703,canopy growth,0.934471845626831,metro,0.9339737296104431,magna,0.9184999465942383,telus,0.9137591123580933,ritchie bros auctioneers,0.908130407333374,lightspeed commerce,0.9051891565322876,agnico eagle mines ltd,0.8546116352081299,thomson reuters,0.12525030970573425,emera,0.10752300918102264
11,canadian natural resources ltd,imperial oil ltd,0.9990277290344238,blackberry ltd,0.9985570311546326,barrick gold,0.9981615543365479,pembina pipeline,0.9973547458648682,loblaw companies ltd,0.9972565174102783,kinross gold,0.9969431161880493,canadian pacific railway ltd,0.9966274499893188,quebecor,0.9964799284934998,nutrien ltd,0.996097981929779,metro,0.9928244352340698,magna,0.987824022769928,telus,0.9824579954147339,ritchie bros auctioneers,0.9819040298461914,manulife financial,0.9810805320739746,lightspeed commerce,0.9793208241462708,canopy growth,0.9792467355728149,suncor,0.9708378314971924,cenovus,0.9689351320266724,enbridge,0.9682093858718872,tc,0.966385543346405,agnico eagle mines ltd,0.9440265893936157,emera,0.3344464898109436,thomson reuters,0.31645557284355164
12,quebecor,kinross gold,0.9992501735687256,barrick gold,0.9982468485832214,loblaw companies ltd,0.9980406761169434,imperial oil ltd,0.9978320002555847,canadian pacific railway ltd,0.9976543188095093,canadian natural resources ltd,0.9964800477027893,blackberry ltd,0.9956353902816772,nutrien ltd,0.9950739145278931,pembina pipeline,0.9943805932998657,manulife financial,0.9882075190544128,metro,0.9863365292549133,magna,0.9808109998703003,suncor,0.9790807962417603,enbridge,0.9772171974182129,cenovus,0.9768080711364746,telus,0.9754133224487305,tc,0.9745813012123108,ritchie bros auctioneers,0.9729427099227905,lightspeed commerce,0.9712963104248047,canopy growth,0.9684981107711792,agnico eagle mines ltd,0.9243449568748474,emera,0.29766231775283813,thomson reuters,0.28806793689727783
13,kinross gold,quebecor,0.9992501735687256,loblaw companies ltd,0.999021589756012,imperial oil ltd,0.9978814125061035,barrick gold,0.9976990222930908,canadian natural resources ltd,0.9969432353973389,canadian pacific railway ltd,0.9963982701301575,blackberry ltd,0.9960815906524658,nutrien ltd,0.9952778220176697,pembina pipeline,0.9949272274971008,metro,0.9888753890991211,manulife financial,0.9844858646392822,magna,0.9844245910644531,telus,0.9787322282791138,ritchie bros auctioneers,0.9765026569366455,lightspeed commerce,0.9755434393882751,suncor,0.9739500880241394,enbridge,0.972454309463501,cenovus,0.9716517925262451,tc,0.9691301584243774,canopy growth,0.9677593111991882,agnico eagle mines ltd,0.9264229536056519,emera,0.31829553842544556,thomson reuters,0.3003172278404236
14,barrick gold,canadian pacific railway ltd,0.9988622069358826,imperial oil ltd,0.9986720085144043,quebecor,0.9982468485832214,canadian natural resources ltd,0.9981615543365479,kinross gold,0.9976989030838013,blackberry ltd,0.9976221323013306,loblaw companies ltd,0.9972524642944336,nutrien ltd,0.9968863725662231,pembina pipeline,0.9958114624023438,manulife financial,0.987911581993103,metro,0.9878782033920288,magna,0.9819902181625366,suncor,0.9791896343231201,cenovus,0.9773670434951782,telus,0.9772278070449829,enbridge,0.9766883850097656,ritchie bros auctioneers,0.9757266044616699,tc,0.975096583366394,lightspeed commerce,0.9723273515701294,canopy growth,0.9711621999740601,agnico eagle mines ltd,0.9289221167564392,thomson reuters,0.30116260051727295,emera,0.29409635066986084
15,agnico eagle mines ltd,canopy growth,0.9796653389930725,telus,0.9617111086845398,lightspeed commerce,0.9604051113128662,ritchie bros auctioneers,0.9601167440414429,metro,0.9600263237953186,magna,0.9593396186828613,pembina pipeline,0.949796199798584,canadian natural resources ltd,0.9440265893936157,blackberry ltd,0.9406984448432922,imperial oil ltd,0.938010573387146,loblaw companies ltd,0.93525630235672,barrick gold,0.9289221167564392,kinross gold,0.9264228940010071,nutrien ltd,0.9253717064857483,quebecor,0.9243448972702026,canadian pacific railway ltd,0.9232128858566284,manulife financial,0.8789197206497192,suncor,0.8633362054824829,cenovus,0.8609113693237305,tc,0.8546115756034851,enbridge,0.8543272018432617,emera,0.49589067697525024,thomson reuters,0.4735780358314514
16,blackberry ltd,canadian natural resources ltd,0.9985570311546326,nutrien ltd,0.998327910900116,imperial oil ltd,0.9980206489562988,barrick gold,0.9976221323013306,pembina pipeline,0.9970737099647522,kinross gold,0.996081531047821,loblaw companies ltd,0.9960638284683228,canadian pacific railway ltd,0.9960123896598816,quebecor,0.9956352710723877,metro,0.9904406666755676,magna,0.9875671863555908,ritchie bros auctioneers,0.9839683771133423,telus,0.9838793277740479,lightspeed commerce,0.9808334708213806,manulife financial,0.979601263999939,canopy growth,0.9767700433731079,suncor,0.9702135324478149,cenovus,0.9678117036819458,enbridge,0.9674440622329712,tc,0.9660967588424683,agnico eagle mines ltd,0.9406984448432922,emera,0.33966463804244995,thomson reuters,0.3061584234237671
17,telus,lightspeed commerce,0.9980484247207642,magna,0.9938702583312988,ritchie bros auctioneers,0.9917349815368652,pembina pipeline,0.98949134349823,metro,0.9889863729476929,loblaw companies ltd,0.9842696189880371,blackberry ltd,0.9838793277740479,canadian natural resources ltd,0.9824579954147339,imperial oil ltd,0.9807197451591492,nutrien ltd,0.9790717959403992,kinross gold,0.9787321090698242,barrick gold,0.9772277474403381,quebecor,0.9754132628440857,canopy growth,0.9721930027008057,canadian pacific railway ltd,0.9704467058181763,agnico eagle mines ltd,0.9617111086845398,manulife financial,0.9370725750923157,suncor,0.9214772582054138,cenovus,0.9169524312019348,enbridge,0.9167475700378418,tc,0.9137589931488037,emera,0.4604458212852478,thomson reuters,0.39568883180618286
18,magna,metro,0.9971286654472351,ritchie bros auctioneers,0.99669349193573,telus,0.9938703775405884,lightspeed commerce,0.9927434921264648,pembina pipeline,0.9922911524772644,loblaw companies ltd,0.9890405535697937,canadian natural resources ltd,0.987824022769928,blackberry ltd,0.9875671863555908,imperial oil ltd,0.9854344129562378,kinross gold,0.9844245314598083,nutrien ltd,0.982315182685852,barrick gold,0.9819902181625366,quebecor,0.9808109402656555,canadian pacific railway ltd,0.9752486348152161,canopy growth,0.9688307046890259,agnico eagle mines ltd,0.9593396186828613,manulife financial,0.9434101581573486,suncor,0.925702691078186,cenovus,0.9220832586288452,enbridge,0.9218809604644775,tc,0.9184999465942383,emera,0.44932419061660767,thomson reuters,0.42307454347610474
19,imperial oil ltd,canadian natural resources ltd,0.9990277290344238,barrick gold,0.9986720085144043,blackberry ltd,0.9980206489562988,kinross gold,0.997881293296814,loblaw companies ltd,0.9978451132774353,canadian pacific railway ltd,0.9978430271148682,quebecor,0.9978318810462952,pembina pipeline,0.996845543384552,nutrien ltd,0.9966031908988953,metro,0.9906695485115051,magna,0.9854344129562378,manulife financial,0.9840042591094971,telus,0.980719804763794,ritchie bros auctioneers,0.9792922139167786,lightspeed commerce,0.9772605895996094,canopy growth,0.9761863946914673,suncor,0.9744467735290527,cenovus,0.9724570512771606,enbridge,0.9718421697616577,tc,0.9701735973358154,agnico eagle mines ltd,0.938010573387146,emera,0.32161444425582886,thomson reuters,0.3051985800266266
20,enbridge,cenovus,0.9990310668945312,tc,0.9989964365959167,suncor,0.9989141821861267,manulife financial,0.997334361076355,canadian pacific railway ltd,0.9834160208702087,quebecor,0.9772171378135681,barrick gold,0.9766883254051208,nutrien ltd,0.9725793600082397,kinross gold,0.9724541902542114,imperial oil ltd,0.9718421697616577,canadian natural resources ltd,0.9682093858718872,blackberry ltd,0.9674440622329712,loblaw companies ltd,0.9655703902244568,pembina pipeline,0.9571272730827332,metro,0.9372565746307373,canopy growth,0.9337663650512695,magna,0.9218809604644775,telus,0.9167475700378418,ritchie bros auctioneers,0.9106668829917908,lightspeed commerce,0.908930778503418,agnico eagle mines ltd,0.8543272018432617,thomson reuters,0.12857094407081604,emera,0.11705870181322098
21,suncor,cenovus,0.9994238615036011,tc,0.9991247653961182,enbridge,0.9989142417907715,manulife financial,0.9978584051132202,canadian pacific railway ltd,0.9854428172111511,barrick gold,0.9791897535324097,quebecor,0.9790807962417603,nutrien ltd,0.9745128154754639,imperial oil ltd,0.9744468331336975,kinross gold,0.9739500880241394,canadian natural resources ltd,0.9708378911018372,blackberry ltd,0.9702136516571045,loblaw companies ltd,0.9675049781799316,pembina pipeline,0.9606941342353821,metro,0.9408168196678162,canopy growth,0.9395703077316284,magna,0.9257028102874756,telus,0.9214773178100586,ritchie bros auctioneers,0.9154317378997803,lightspeed commerce,0.9132366180419922,agnico eagle mines ltd,0.8633362650871277,thomson reuters,0.1465715914964676,emera,0.12038570642471313
22,nutrien ltd,blackberry ltd,0.998327910900116,barrick gold,0.9968863725662231,imperial oil ltd,0.9966031908988953,canadian natural resources ltd,0.996097981929779,canadian pacific railway ltd,0.9959824085235596,kinross gold,0.9952777624130249,quebecor,0.9950738549232483,loblaw companies ltd,0.9946106672286987,pembina pipeline,0.9941158294677734,metro,0.9850505590438843,manulife financial,0.982822060585022,magna,0.982315182685852,telus,0.979071855545044,ritchie bros auctioneers,0.9787507653236389,lightspeed commerce,0.9756715893745422,suncor,0.9745128154754639,enbridge,0.9725793600082397,cenovus,0.9719215035438538,tc,0.971196174621582,canopy growth,0.968137800693512,agnico eagle mines ltd,0.9253717064857483,emera,0.3205312490463257,thomson reuters,0.27640965580940247
23,lightspeed commerce,telus,0.9980484247207642,magna,0.9927434921264648,ritchie bros auctioneers,0.9911177158355713,metro,0.9863602519035339,pembina pipeline,0.9858262538909912,loblaw companies ltd,0.9809012413024902,blackberry ltd,0.9808334708213806,canadian natural resources ltd,0.9793208241462708,imperial oil ltd,0.9772605895996094,nutrien ltd,0.9756715893745422,kinross gold,0.9755432605743408,barrick gold,0.9723273515701294,quebecor,0.9712963104248047,canopy growth,0.9686564207077026,canadian pacific railway ltd,0.9653385877609253,agnico eagle mines ltd,0.9604051113128662,manulife financial,0.929608941078186,suncor,0.9132364988327026,enbridge,0.908930778503418,cenovus,0.9083801507949829,tc,0.9051890969276428,emera,0.488293319940567,thomson reuters,0.38993239402770996
