,company,n0_rec,n0_conf,n1_rec,n1_conf,n2_rec,n2_conf,n3_rec,n3_conf,n4_rec,n4_conf,n5_rec,n5_conf,n6_rec,n6_conf,n7_rec,n7_conf,n8_rec,n8_conf,n9_rec,n9_conf,n10_rec,n10_conf,n11_rec,n11_conf,n12_rec,n12_conf,n13_rec,n13_conf,n14_rec,n14_conf,n15_rec,n15_conf,n16_rec,n16_conf,n17_rec,n17_conf,n18_rec,n18_conf,n19_rec,n19_conf,n20_rec,n20_conf,n21_rec,n21_conf
12,morgan stanley,citigroup,0.9684969782829285,chevron,0.9563039541244507,apple,0.9534131288528442,goldman sachs,0.9345039129257202,mastercard,0.9072213172912598,visa,0.9052115678787231,ford motor,0.8706324100494385,blackrock,0.8698903322219849,fiserv,0.8470867276191711,twitter,0.6058229207992554,microsoft,0.5138270854949951,netflix,0.49904221296310425,prudential financial,0.40332597494125366,kroger,0.2843579053878784,dollar tree,0.24903960525989532,norfolk southern,0.2246094048023224,duke,0.2156800627708435,pfizer,0.15711672604084015,eli lilly,0.14122703671455383,abbvie,0.1276455670595169,amgen,0.12162720412015915,abbott laboratories,0.10809557884931564
13,chevron,apple,0.9986810684204102,visa,0.9879624247550964,mastercard,0.9877286553382874,ford motor,0.970524787902832,morgan stanley,0.9563040137290955,citigroup,0.8589529991149902,goldman sachs,0.7977496385574341,twitter,0.7651338577270508,blackrock,0.6965766549110413,microsoft,0.6933068037033081,netflix,0.6768601536750793,fiserv,0.6669565439224243,prudential financial,0.5920862555503845,norfolk southern,0.2538800537586212,duke,0.24635091423988342,kroger,0.2313910871744156,dollar tree,0.19063517451286316,pfizer,0.17206266522407532,eli lilly,0.157952219247818,abbvie,0.14107239246368408,amgen,0.13345390558242798,abbott laboratories,0.12244326621294022
14,abbvie,amgen,0.9997142553329468,abbott laboratories,0.9995414614677429,eli lilly,0.9993927478790283,pfizer,0.9990079402923584,dollar tree,0.4402742087841034,kroger,0.43184250593185425,norfolk southern,0.4074777662754059,duke,0.40208402276039124,fiserv,0.2425006628036499,prudential financial,0.22199353575706482,blackrock,0.2206709235906601,goldman sachs,0.19945910573005676,microsoft,0.1930706948041916,netflix,0.1867617666721344,citigroup,0.17866790294647217,twitter,0.1563025712966919,mastercard,0.14317750930786133,chevron,0.14107239246368408,visa,0.1319238245487213,ford motor,0.12775206565856934,morgan stanley,0.1276455670595169,apple,0.11371996998786926
15,twitter,microsoft,0.9909626245498657,netflix,0.9897463321685791,prudential financial,0.9667589068412781,ford motor,0.8910736441612244,mastercard,0.8503303527832031,visa,0.8458414077758789,apple,0.7793629169464111,chevron,0.7651338577270508,morgan stanley,0.6058229207992554,citigroup,0.434550940990448,goldman sachs,0.356073796749115,norfolk southern,0.2934633195400238,duke,0.2860308289527893,blackrock,0.22913169860839844,kroger,0.20895981788635254,fiserv,0.1873336285352707,pfizer,0.18198788166046143,eli lilly,0.17100712656974792,dollar tree,0.1689656674861908,abbvie,0.1563025563955307,amgen,0.1434219777584076,abbott laboratories,0.1414465606212616
16,prudential financial,netflix,0.9927656054496765,microsoft,0.9904438257217407,twitter,0.9667589664459229,ford motor,0.7576758861541748,mastercard,0.701367974281311,visa,0.6964797973632812,apple,0.6070244312286377,chevron,0.5920863151550293,morgan stanley,0.40332600474357605,norfolk southern,0.34987878799438477,duke,0.34355127811431885,pfizer,0.24351567029953003,kroger,0.24047963321208954,eli lilly,0.23483633995056152,citigroup,0.22966215014457703,abbvie,0.2219935804605484,abbott laboratories,0.2113288789987564,amgen,0.20943664014339447,dollar tree,0.20657390356063843,goldman sachs,0.1560223549604416,blackrock,0.03544951230287552,fiserv,-0.002233300358057022
17,microsoft,netflix,0.9992182850837708,twitter,0.9909626245498657,prudential financial,0.9904437065124512,ford motor,0.8385580778121948,mastercard,0.790015697479248,visa,0.7860989570617676,apple,0.7071462869644165,chevron,0.6933068037033081,morgan stanley,0.5138270854949951,citigroup,0.3380950391292572,norfolk southern,0.3358381986618042,duke,0.32913297414779663,goldman sachs,0.2602076232433319,kroger,0.23660263419151306,pfizer,0.2174873650074005,eli lilly,0.2075318843126297,dollar tree,0.19909755885601044,abbvie,0.1930706948041916,amgen,0.18065699934959412,abbott laboratories,0.1806098222732544,blackrock,0.133417010307312,fiserv,0.09373109042644501
18,citigroup,goldman sachs,0.9930881261825562,morgan stanley,0.9684969782829285,blackrock,0.9644341468811035,fiserv,0.9517115354537964,chevron,0.8589529395103455,apple,0.8524590134620667,mastercard,0.7812627553939819,visa,0.7776723504066467,ford motor,0.7298603057861328,twitter,0.434550940990448,kroger,0.3639940619468689,microsoft,0.3380950391292572,dollar tree,0.33681267499923706,netflix,0.323969304561615,norfolk southern,0.24306482076644897,duke,0.2337009310722351,prudential financial,0.22966215014457703,pfizer,0.20592808723449707,eli lilly,0.18929071724414825,abbvie,0.17866788804531097,amgen,0.17522957921028137,abbott laboratories,0.16062772274017334
19,amgen,abbvie,0.9997141361236572,abbott laboratories,0.9997059106826782,eli lilly,0.9991987347602844,pfizer,0.9988324642181396,dollar tree,0.4450075328350067,kroger,0.43604275584220886,norfolk southern,0.40722012519836426,duke,0.40191781520843506,fiserv,0.24215519428253174,blackrock,0.21964985132217407,prudential financial,0.20943662524223328,goldman sachs,0.19696752727031708,microsoft,0.18065699934959412,citigroup,0.17522957921028137,netflix,0.1738845854997635,twitter,0.1434219628572464,mastercard,0.13402509689331055,chevron,0.13345390558242798,visa,0.12291018664836884,morgan stanley,0.12162719666957855,ford motor,0.11775913834571838,apple,0.10587295889854431
20,eli lilly,pfizer,0.9995049834251404,abbvie,0.9993927478790283,amgen,0.9991987943649292,abbott laboratories,0.9991258382797241,dollar tree,0.43694671988487244,kroger,0.42918825149536133,norfolk southern,0.4256681501865387,duke,0.42031049728393555,fiserv,0.24817070364952087,prudential financial,0.23483633995056152,blackrock,0.2266949862241745,goldman sachs,0.20844531059265137,microsoft,0.2075318843126297,netflix,0.2007775604724884,citigroup,0.18929073214530945,twitter,0.1710071563720703,mastercard,0.16064848005771637,chevron,0.157952219247818,visa,0.14984089136123657,ford motor,0.145158588886261,morgan stanley,0.14122703671455383,apple,0.13046050071716309
21,apple,chevron,0.9986810684204102,mastercard,0.9899731874465942,visa,0.9897936582565308,ford motor,0.9750540852546692,morgan stanley,0.9534131288528442,citigroup,0.8524590134620667,goldman sachs,0.7900103330612183,twitter,0.7793629169464111,microsoft,0.7071462869644165,netflix,0.6914288997650146,blackrock,0.6871699690818787,fiserv,0.6558964848518372,prudential financial,0.6070243120193481,norfolk southern,0.23870980739593506,kroger,0.23126254975795746,duke,0.2309930920600891,dollar tree,0.1898486316204071,pfizer,0.14488033950328827,eli lilly,0.13046050071716309,abbvie,0.11371996998786926,amgen,0.10587296634912491,abbott laboratories,0.09500865638256073
22,norfolk southern,duke,0.9997809529304504,kroger,0.4830782115459442,dollar tree,0.4758484959602356,pfizer,0.432268351316452,eli lilly,0.4256681501865387,abbott laboratories,0.40995126962661743,abbvie,0.4074777364730835,amgen,0.40722015500068665,prudential financial,0.34987872838974,microsoft,0.3358381986618042,netflix,0.32769691944122314,twitter,0.2934633195400238,visa,0.265863299369812,mastercard,0.2571094036102295,ford motor,0.2569027543067932,goldman sachs,0.2541552782058716,chevron,0.25388002395629883,fiserv,0.2503335475921631,citigroup,0.24306482076644897,apple,0.23870980739593506,blackrock,0.23115937411785126,morgan stanley,0.2246094048023224
