date,industry_tone,northern_star_resources_ltd_diff,ramsay_health_care_ltd_diff,national_australia_bank_ltd_diff,fortescue_metals_group_ltd_diff,qantas_airways_ltd_diff,crown_resorts_ltd_diff,suncorp_group_ltd_diff,woodside_petroleum_ltd_diff,newcrest_mining_ltd_diff,scentre_diff,santos_ltd_diff,cochlear_ltd_diff
2022-02-24,0.0030599130984680033,,,,,0.0,,,,,,,
2022-02-25,0.0030599130984680033,,,,,0.0,,,,,,,
2022-02-26,0.0030599130984680033,,,,,0.0,,,,,,,
2022-02-27,0.0030599130984680033,,,,,0.0,,,,,,,
2022-02-28,0.0030599130984680033,,,,,0.0,,,,,,,
2022-03-01,-0.0017075669610186839,,,,,,0.0,,,,,,
2022-03-02,-0.0017075669610186839,,,,,,0.0,,,,,,
2022-03-03,-0.0017075669610186839,,,,,,0.0,,,,,,
2022-03-04,-0.0017075669610186839,,,,,,0.0,,,,,,
2022-03-05,-0.0017075669610186839,,,,,,0.0,,,,,,
2022-03-06,-0.0017075669610186839,,,,,,0.0,,,,,,
2022-03-07,-0.0017075669610186839,,,,,,0.0,,,,,,
2022-03-08,-0.0017075669610186839,,,,,,0.0,,,,,,
2022-03-09,-0.0017075669610186839,,,,,,0.0,,,,,,
2022-03-10,-0.0017075669610186839,,,,,,0.0,,,,,,
2022-03-11,-0.0017075669610186839,,,,,,0.0,,,,,,
2022-03-12,-0.0017075669610186839,,,,,,0.0,,,,,,
2022-03-13,0.0,0.0,,,,,,,,,,0.0,
2022-03-14,0.0,0.0,,,,,,,,,,0.0,
2022-03-15,0.0,0.0,,,,,,,,,,0.0,
2022-03-16,0.0,0.0,,,,,,,,,,0.0,
2022-03-17,0.0,0.0,,,,,,,,,,0.0,
2022-03-18,0.0,0.0,,,,,,,,,,0.0,
2022-03-19,0.0,0.0,,,,,,,,,,0.0,
2022-03-20,0.0,0.0,,,,,,,,,,0.0,
2022-03-21,0.0,0.0,,,,,,,,,,0.0,
2022-03-22,0.0,0.0,,,,,,,,,,0.0,
2022-03-23,0.0,0.0,,,,,,,,,,0.0,
2022-03-24,0.0,0.0,,,,,,,,,,0.0,
2022-03-25,0.0,0.0,,,,,,,,,,0.0,
2022-03-26,0.0,0.0,,,,,,,,,,0.0,
2022-03-27,0.0,0.0,,,,,,,,,,0.0,
2022-03-28,0.0,0.0,,,,,,,,,,0.0,
2022-03-29,0.0,0.0,,,,,,,,,,0.0,
2022-03-30,0.0,0.0,,,,,,,,,,0.0,
2022-03-31,0.0,0.0,,,,,,,,,,0.0,
2022-04-01,0.0,0.0,,,,,,,,,,0.0,
2022-04-02,0.0,0.0,,,,,,,,,,0.0,
2022-04-03,0.0,0.0,,,,,,,,,,0.0,
2022-04-04,0.0,0.0,,,,,,,,,,0.0,
2022-04-05,0.0,0.0,,,,,,,,,,0.0,
2022-04-06,0.0,0.0,,,,,,,,,,0.0,
2022-04-07,0.0,0.0,,,,,,,,,,0.0,
2022-04-08,0.0,0.0,,,,,,,,,,0.0,
2022-04-09,0.0,0.0,,,,,,,,,,0.0,
2022-04-10,0.0,0.0,,,,,,,,,,0.0,
2022-04-11,0.0,0.0,,,,,,,,,,0.0,
2022-04-12,0.0,0.0,,,,,,,,,,0.0,
2022-04-13,0.0,0.0,,,,,,,,,,0.0,
2022-04-14,0.0,0.0,,,,,,,,,,0.0,
2022-04-15,0.0,0.0,,,,,,,,,,0.0,
2022-04-16,0.0,0.0,,,,,,,,,,0.0,
2022-04-17,0.0,0.0,,,,,,,,,,0.0,
2022-04-18,0.0,0.0,,,,,,,,,,0.0,
2022-04-19,0.0,,0.0,,,,,,,,,,
2022-04-20,0.003942148963953976,,,,,,,,,,0.0,,
